Anzsic,Anzsic_description,Period,Data_value,Variable,Units,Gas,Status
EE1,Construction,2019Q2,383,Actual,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2019Q3,378,Actual,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2019Q4,396,Actual,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2020Q1,372,Actual,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2020Q2,268,Actual,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2020Q3,424,Actual,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2020Q4,406,Actual,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2021Q1,409,Actual,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2021Q2,419,Actual,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2021Q3,366,Actual,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2021Q4,406,Actual,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2022Q1,394,Actual,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2022Q2,383,Actual,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2022Q3,412,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2014Q1,2078,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2014Q2,2023,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2014Q3,2175,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2014Q4,2148,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2015Q1,2203,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2015Q2,2183,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2015Q3,2270,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2015Q4,2284,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2016Q1,2243,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2016Q2,2181,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2016Q3,2364,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2016Q4,2310,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2017Q1,2356,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2017Q2,2307,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2017Q3,2438,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2017Q4,2399,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2018Q1,2469,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2018Q2,2351,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2018Q3,2370,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2018Q4,2479,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2019Q1,2448,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2019Q2,2390,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2019Q3,2505,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2019Q4,2520,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2020Q1,2413,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2020Q2,1466,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2020Q3,1755,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2020Q4,1867,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2021Q1,1797,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2021Q2,1920,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2021Q3,1731,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2021Q4,1803,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2022Q1,1864,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2022Q2,1911,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2022Q3,2081,Actual,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2014Q1,1496,Actual,Kilotonnes,Carbon dioxide equivalents,P
